ID_IPEDS,stabbr,highest_degree,degree_bach,public,enroll_ftug,grant_federal,year
100654,AL,9,1,1,1110,4005894.0,2010
100663,AL,9,1,1,1542,3176808.0,2010
100690,AL,9,1,0,4,5475.0,2010
100706,AL,9,1,1,600,1239983.0,2010
100724,AL,9,1,1,1090,4558623.0,2010
100751,AL,9,1,1,5489,5584992.0,2010
100760,AL,3,1,1,594,2138905.0,2010
100830,AL,8,1,1,758,1915646.0,2010
100858,AL,9,1,1,4183,3766435.0,2010
100937,AL,5,1,0,369,483737.0,2010
101028,AL,3,1,1,276,1144544.0,2010
101073,AL,5,1,0,248,581189.0,2010
101116,AL,7,1,0,47,212305.0,2010
101143,AL,3,1,1,520,1555816.0,2010
101161,AL,3,1,1,1035,2958593.0,2010
101189,AL,9,1,0,211,247951.0,2010
101240,AL,3,1,1,1523,5497496.0,2010
101277,AL,2,1,0,46,15800.0,2010
101286,AL,3,1,1,953,3267291.0,2010
101295,AL,3,1,1,1091,3432135.0,2010
101301,AL,3,1,1,415,1989145.0,2010
101365,AL,5,1,0,17,61903.0,2010
101435,AL,5,1,0,272,548395.0,2010
101453,AL,7,1,0,3,11100.0,2010
101462,AL,3,1,1,228,1085372.0,2010
101471,AL,3,1,1,297,0.0,2010
101480,AL,9,1,1,1246,2891180.0,2010
101499,AL,3,1,1,264,752898.0,2010
101505,AL,3,1,1,1306,3347437.0,2010
101514,AL,3,1,1,1436,3577105.0,2010
101541,AL,5,1,0,93,264963.0,2010
101569,AL,3,1,1,1044,4477869.0,2010
101587,AL,7,1,1,283,813937.0,2010
101602,AL,3,1,1,433,1795778.0,2010
101648,AL,3,1,1,231,696316.0,2010
101675,AL,5,1,0,343,1599836.0,2010
101693,AL,7,1,0,233,446849.0,2010
101709,AL,8,1,1,425,810870.0,2010
101736,AL,3,1,1,834,3503153.0,2010
101879,AL,8,1,1,961,2334828.0,2010
101897,AL,4,1,1,671,2668866.0,2010
101912,AL,7,1,0,455,979427.0,2010
101949,AL,3,1,1,432,1697831.0,2010
101994,AL,3,1,1,105,395056.0,2010
102030,AL,3,1,1,556,2464781.0,2010
102049,AL,9,1,0,712,668609.0,2010
102058,AL,7,1,0,236,610000.0,2010
102067,AL,3,1,1,923,2697402.0,2010
102076,AL,3,1,1,597,1793853.0,2010
102094,AL,9,1,1,1707,4125932.0,2010
102234,AL,8,1,0,397,979848.0,2010
102261,AL,5,1,0,11,44239.0,2010
102270,AL,5,1,0,297,1179466.0,2010
102298,AL,5,1,0,211,713258.0,2010
102313,AL,3,1,1,278,1167919.0,2010
102368,AL,9,1,1,1810,5050709.0,2010
102377,AL,9,1,0,701,3337838.0,2010
102429,AL,3,1,1,1006,4339734.0,2010
102553,AK,8,1,1,1580,2260279.0,2010
102580,AK,5,1,0,9,2750.0,2010
102614,AK,9,1,1,854,1155143.0,2010
102632,AK,7,1,1,208,247117.0,2010
102669,AK,9,1,0,45,43950.0,2010
102711,AK,2,1,1,298,430538.0,2010
102845,AK,5,1,0,622,3040400.0,2010
103501,AK,3,1,0,424,1169361.0,2010
103741,AZ,2,1,0,66,333180.0,2010
103811,AZ,1,1,0,1449,3965730.0,2010
103893,AZ,5,1,0,899,3094461.0,2010
103909,AZ,4,1,0,962,2878535.0,2010
103927,AZ,3,1,0,664,2494605.0,2010
103945,AZ,5,1,0,318,1365684.0,2010
103963,AZ,4,1,0,1473,5115147.0,2010
104090,AZ,5,1,0,1971,6632450.0,2010
104151,AZ,9,1,1,7544,12530943.0,2010
104160,AZ,3,1,1,939,3345524.0,2010
104179,AZ,9,1,1,6804,10892442.0,2010
104188,AZ,7,1,0,19,42750.0,2010
104346,AZ,3,1,1,514,1242698.0,2010
104364,AZ,5,1,0,125,530736.0,2010
104391,AZ,2,1,0,106,381241.0,2010
104425,AZ,3,1,1,482,1425060.0,2010
104434,AZ,2,1,0,27,83110.0,2010
104443,AZ,2,1,0,82,302920.0,2010
104504,AZ,2,1,0,89,265318.0,2010
104568,AZ,2,1,0,143,336790.0,2010
104577,AZ,3,1,1,842,1499597.0,2010
104586,AZ,7,1,0,352,471552.0,2010
104708,AZ,3,1,1,2235,5379514.0,2010
104717,AZ,9,1,0,704,1734806.0,2010
104911,AZ,2,1,0,262,821724.0,2010
105145,AZ,4,1,1,240,673461.0,2010
105154,AZ,3,1,1,2417,5337246.0,2010
105206,AZ,3,1,1,254,1177346.0,2010
105215,AZ,4,1,0,1802,5339050.0,2010
105297,AZ,5,1,1,373,951053.0,2010
105330,AZ,9,1,1,3789,7620757.0,2010
105349,AZ,3,1,1,149,388648.0,2010
105428,AZ,3,1,1,734,2626018.0,2010
105482,AZ,1,1,0,63,138232.0,2010
105525,AZ,3,1,1,3478,9054316.0,2010
105534,AZ,5,1,0,2089,5832315.0,2010
105543,NM,4,1,0,1752,5326847.0,2010
105589,AZ,9,1,0,76,127113.0,2010
105659,AZ,3,1,0,664,1789323.0,2010
105668,AZ,3,1,1,343,929572.0,2010
105677,AZ,1,1,0,19,28115.0,2010
105701,AZ,2,1,0,47,123243.0,2010
105747,AZ,3,1,1,996,1377201.0,2010
105792,AZ,3,1,1,424,1498253.0,2010
105899,AZ,5,1,0,74,143093.0,2010
105987,AZ,1,1,0,516,1667638.0,2010
106041,AZ,3,1,0,2089,6293750.0,2010
106102,AZ,7,1,0,84,304434.0,2010
106111,AZ,2,1,0,85,425466.0,2010
106148,AZ,3,1,1,450,1072382.0,2010
106245,AR,9,1,1,768,1969219.0,2010
106306,AR,5,1,0,268,948456.0,2010
106315,AR,2,1,0,9,38500.0,2010
106324,AR,2,1,0,34,144533.0,2010
106342,AR,5,1,0,203,570987.0,2010
106351,AR,2,1,0,40,183119.0,2010
106360,AR,2,1,0,42,127779.0,2010
106397,AR,9,1,1,3780,4320333.0,2010
106412,AR,7,1,1,781,3593655.0,2010
106449,AR,3,1,1,806,2140894.0,2010
106458,AR,9,1,1,1665,4200895.0,2010
106467,AR,8,1,1,1686,4479449.0,2010
106485,AR,7,1,1,691,2237351.0,2010
106494,AR,2,1,0,48,152937.0,2010
106546,AR,4,1,0,49,109351.0,2010
106625,AR,3,1,1,451,1949043.0,2010
106704,AR,9,1,1,1828,4105380.0,2010
106713,AR,5,1,0,151,365702.0,2010
106795,AR,3,1,1,182,662779.0,2010
106810,AR,5,1,0,55,183612.0,2010
106829,AR,2,1,1,72,342900.0,2010
106883,AR,3,1,1,235,1086422.0,2010
106892,AR,1,1,0,306,689258.0,2010
106908,AR,2,1,0,303,856526.0,2010
106980,AR,3,1,1,456,2063983.0,2010
106999,AR,3,1,1,271,1206228.0,2010
107044,AR,9,1,0,988,1152379.0,2010
107071,AR,8,1,1,799,2183013.0,2010
107080,AR,7,1,0,404,470856.0,2010
107099,AR,2,1,0,35,164976.0,2010
107141,AR,7,1,0,322,699852.0,2010
107211,AR,2,1,0,39,50673.0,2010
107220,AR,2,1,0,369,534854.0,2010
107293,AR,2,1,0,46,159404.0,2010
107318,AR,3,1,1,286,626592.0,2010
107327,AR,3,1,1,334,1375955.0,2010
107442,AR,2,1,0,51,274657.0,2010
107460,AR,3,1,1,471,1886967.0,2010
107488,AR,2,1,1,317,357328.0,2010
107512,AR,5,1,0,451,660770.0,2010
107521,AR,3,1,1,173,498410.0,2010
107549,AR,3,1,1,306,1195316.0,2010
107558,AR,5,1,0,204,526733.0,2010
107585,AR,3,1,1,536,1413079.0,2010
107600,AR,5,1,0,178,590497.0,2010
107619,AR,3,1,1,204,888801.0,2010
107637,AR,3,1,1,290,1144242.0,2010
107655,AR,2,1,0,52,136687.0,2010
107664,AR,4,1,1,996,3639537.0,2010
107725,AR,3,1,1,235,861474.0,2010
107743,AR,3,1,1,144,731260.0,2010
107789,AR,2,1,0,28,102967.0,2010
107831,AR,2,1,0,50,157975.0,2010
107877,AR,5,1,0,155,399313.0,2010
107974,AR,3,1,1,177,653042.0,2010
107983,AR,7,1,1,643,1990883.0,2010
107992,AR,3,1,1,192,829090.0,2010
108065,AR,2,1,0,16,77022.0,2010
108092,AR,5,1,1,1337,3794754.0,2010
108232,CA,7,1,0,1099,1735583.0,2010
108348,CA,2,1,0,96,476917.0,2010
108649,CA,2,1,0,117,451620.0,2010
108667,CA,3,1,1,218,544115.0,2010
108807,CA,4,1,1,945,1682660.0,2010
108852,CA,4,1,0,91,110125.0,2010
108977,CA,2,1,0,16,68900.0,2010
109040,CA,3,1,0,1856,4104425.0,2010
109208,CA,4,1,1,1432,3516241.0,2010
109350,CA,4,1,1,1022,2725276.0,2010
109651,CA,7,1,0,137,319713.0,2010
109721,CA,1,1,0,957,3753221.0,2010
109730,CA,1,1,0,121,523231.0,2010
109785,CA,9,1,0,1192,1714824.0,2010
109819,CA,3,1,1,1583,4174828.0,2010
109907,CA,3,1,1,267,880232.0,2010
109934,CA,4,1,0,159,600227.0,2010
110060,CA,9,1,0,32,61275.0,2010
110097,CA,9,1,0,874,1600476.0,2010
110194,CA,2,1,0,302,1472534.0,2010
110219,CA,4,1,0,636,1272527.0,2010
110246,CA,4,1,1,1223,3285166.0,2010
110334,CA,3,1,1,971,1571207.0,2010
110361,CA,7,1,0,804,1678358.0,2010
110370,CA,7,1,0,229,423723.0,2010
110404,CA,9,1,0,222,141550.0,2010
110413,CA,9,1,0,556,837120.0,2010
110422,CA,7,1,1,3459,2537510.0,2010
110486,CA,7,1,1,1013,3392438.0,2010
110495,CA,9,1,1,998,3126337.0,2010
110510,CA,9,1,1,1747,6075645.0,2010
